"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"11",-22.3433087301587,-21.2732457364341,-4.73988888888889,-23.7187012903226,4.16842,-4.942802,-7.953569,-34.0106031007752,-27.4882666666667,-28.138625,-34.4224857142857,-35.5712045454546,-32.2357777777778,-41.4766356589147,-42.6903385826771,-41.2704230769231,-42.9696829268293,-30.30345,-35.2504705882353,-40.4184181818182,-43.2311481481481,-43.9109833333333,-27.8628,-39.1106304347826,-45.57375,-45.948918699187,-23.290875,-25.59,-42.6082727272727,-45.6726832298136,-45.4185,-40.5272
"12",-22.3433087301587,-21.2732457364341,-4.73988888888889,-23.7187012903226,4.16842,-4.942802,-7.953569,-34.0106031007752,-27.4882666666667,-28.138625,-34.4224857142857,-35.5712045454546,-32.2357777777778,-41.4766356589147,-42.6903385826771,-41.2704230769231,-42.9696829268293,-30.30345,-35.2504705882353,-40.4184181818182,-43.2311481481481,-43.9109833333333,-27.8628,-39.1106304347826,-45.57375,-45.948918699187,-23.290875,-25.59,-42.6082727272727,-45.6726832298136,-45.4185,-40.5272
"13",-22.3433087301587,-17.8112693430657,-4.73988888888889,-23.7187012903226,4.16842,-4.942802,-7.953569,-34.0106031007752,-27.4882666666667,-28.138625,-34.4224857142857,-18.7736055555556,-32.2357777777778,-41.4766356589147,-38.3766615384615,-41.2704230769231,-42.9696829268293,-30.30345,-35.2504705882353,-40.4184181818182,-43.2311481481481,-43.9109833333333,-27.8628,-39.1106304347826,-45.57375,-45.948918699187,-23.290875,-25.59,-42.6082727272727,-45.6726832298136,-45.4185,-40.5272
"14",-28.8575520833333,-17.8112693430657,-4.73988888888889,-23.7187012903226,4.16842,-4.942802,-7.953569,-34.0106031007752,-37.4773702564102,-28.138625,-34.4224857142857,-18.7736055555556,-32.2357777777778,-41.4766356589147,-38.3766615384615,-41.2704230769231,-42.9696829268293,-30.30345,-35.2504705882353,-40.4184181818182,-44.3359019607843,-43.9109833333333,-27.8628,-39.1106304347826,-45.57375,-45.948918699187,-23.290875,-25.59,-42.6082727272727,-45.6726832298136,-45.4185,-40.5272
"15",-28.8575520833333,-17.8112693430657,-4.73988888888889,-23.7187012903226,4.16842,-4.942802,-7.953569,-34.0106031007752,-37.4773702564102,-28.138625,-34.4224857142857,-18.7736055555556,-32.2357777777778,-28.3546666666667,-38.3766615384615,-41.2704230769231,-42.9696829268293,-30.30345,-35.2504705882353,-40.4184181818182,-44.3359019607843,-43.9109833333333,-27.8628,-39.1106304347826,-45.57375,-45.948918699187,-23.290875,-25.59,-42.6082727272727,-45.6726832298136,-45.4185,-40.5272
"16",-28.8575520833333,-21.2732457364341,-4.73988888888889,-23.7187012903226,-9.64408571428571,-11.2245285714286,-16.7221571428571,-34.0106031007752,-37.4773702564102,-28.138625,-38.12375,-18.7736055555556,-32.2357777777778,-28.3546666666667,-38.3766615384615,-41.2704230769231,-42.9696829268293,-30.30345,-42.143672,-44.1308091603053,-44.3359019607843,-43.9109833333333,-27.8628,-39.1106304347826,-45.57375,-45.948918699187,-23.290875,-44.1470837438424,-42.6082727272727,-45.6726832298136,-45.4185,-40.5272
"17",-28.8575520833333,-21.2732457364341,-4.73988888888889,-23.7187012903226,-9.64408571428571,-11.2245285714286,-16.7221571428571,-34.0106031007752,-37.4773702564102,-28.138625,-38.12375,-18.7736055555556,-32.2357777777778,-28.3546666666667,-38.3766615384615,-41.2704230769231,-42.9696829268293,-30.30345,-42.143672,-44.1308091603053,-44.3359019607843,-43.9109833333333,-27.8628,-39.1106304347826,-45.57375,-45.948918699187,-39.5604583333333,-44.1470837438424,-42.6082727272727,-45.6726832298136,-45.4185,-27.9604625
"18",-40.2704444444445,-17.8112693430657,-4.73988888888889,-23.7187012903226,-9.64408571428571,-11.2245285714286,-16.7221571428571,-34.0106031007752,-27.4882666666667,-28.138625,-38.12375,-18.7736055555556,-32.2357777777778,-38.3724096385542,-38.3766615384615,-41.2704230769231,-42.9696829268293,-30.30345,-42.143672,-44.1308091603053,-44.3359019607843,-43.9109833333333,-27.8628,-39.1106304347826,-45.57375,-45.948918699187,-39.5604583333333,-44.1470837438424,-42.6082727272727,-45.6726832298136,-45.4185,-27.9604625
"19",-40.2704444444445,-17.8112693430657,-4.73988888888889,-23.7187012903226,-9.64408571428571,-11.2245285714286,-16.7221571428571,-34.0106031007752,-27.4882666666667,-28.138625,-38.12375,12.0711730769231,-27.81875,-38.3724096385542,-38.3766615384615,-41.2704230769231,-42.9696829268293,-30.30345,-42.143672,-44.1308091603053,-44.3359019607843,-43.9109833333333,-43.6147380952381,-39.1106304347826,-45.57375,-45.948918699187,-39.5604583333333,-44.1470837438424,-42.6082727272727,-45.6726832298136,-45.4185,-27.9604625
"20",-40.2704444444445,-17.8112693430657,-4.73988888888889,-23.7187012903226,-26.8419521008403,-11.2245285714286,-31.895583266129,-34.0106031007752,-27.4882666666667,-28.138625,-38.12375,-45.8048,-27.81875,-38.3724096385542,-38.3766615384615,-41.2704230769231,-42.9696829268293,-30.30345,-42.143672,-44.1308091603053,-44.3359019607843,-43.9109833333333,-43.6147380952381,-39.1106304347826,-45.57375,-45.948918699187,-39.5604583333333,-25.59,-42.6082727272727,-45.6726832298136,-45.4185,-27.9604625
